"FE","ShortName","Name","State","soy_dest","soy_ori","soy_shock","corn_dest","corn_ori","corn_shock","cane_dest","cane_ori","cane_shock","index","GID"
11,"RO","Rondônia","Rondonia",488302.333333333,891231,-45.2103513754197,441305.666666667,757172.333333333,-41.7166149317834,250155,216059.666666667,15.7805174187993,1,"G000001"
12,"AC","Acre","Acre",218,607,-64.0856672158155,101005.333333333,84068,20.147182439612,176919.666666667,49820.6666666667,255.113005312388,2,"G000002"
13,"AM","Amazonas","Amazonas",420,NA,0,33417.3333333333,8965,272.753299869864,298732,239412,24.7773712261708,3,"G000003"
14,"RR","Roraima","Roraima",21426.6666666667,72734.6666666667,-70.5413282982896,13012.6666666667,34345,-62.1119037220361,2381,2671.33333333333,-10.8684801597204,4,"G000004"
15,"PA","Pará","Para",398946,1525060.66666667,-73.8406472135972,586491,768679.333333333,-23.701474130088,800183.333333333,901256.666666667,-11.2147113105035,5,"G000005"
16,"AP","Amapá","Amapa",12906,51330,-74.8568088836937,2199,1412,55.7365439093484,3652.66666666667,4551.66666666667,-19.7510069571585,6,"G000006"
17,"TO","Tocantins","Tocantins",1342773.33333333,2312917,-41.9445949278193,344607.333333333,728819.333333333,-52.7170428153662,2032808,3004505.66666667,-32.3413491093433,7,"G000007"
21,"MA","Maranhão","Maranhao",1597762.66666667,2108555.33333333,-24.2247693760623,917127.666666667,1210884.33333333,-24.2596801841517,2877745.66666667,2476846.33333333,16.1858783057329,8,"G000008"
22,"PI","Piauí","Piaui",1102519,1711369.33333333,-35.5767934761013,644017.666666667,1186084.33333333,-45.7022027382537,848557.666666667,798459.666666667,6.2743307009037,9,"G000009"
23,"CE","Ceará","Ceara",3854,190,1928.42105263158,383509.333333333,319416.333333333,20.0656614303798,1960448.66666667,639323.333333333,206.644316647289,10,"G000010"
24,"RN","Rio Grande do Norte","Rio Grande do Norte",NA,NA,0,20779.6666666667,10316,101.431433372108,3885454.66666667,3731385.66666667,4.1290023000392,11,"G000011"
25,"PB","Paraíba","Paraiba",NA,NA,0,32142,31201,3.01592897663536,6125703,5908588,3.6745665800357,12,"G000012"
26,"PE","Pernambuco","Pernambuco",NA,NA,0,56668,36667.3333333333,54.5462809767097,16136216,13058285.6666667,23.5707076097301,13,"G000013"
27,"AL","Alagoas","Alagoas",NA,1586,0,14597.3333333333,23995,-39.1651038410781,28367504,17646102.6666667,60.7578995535706,14,"G000014"
28,"SE","Sergipe","Sergipe",NA,NA,0,490651,363846,34.8512832352149,3227777.66666667,2239645,44.1200577174807,15,"G000015"
29,"BA","Bahia","Bahia",3163630,4903932.66666667,-35.4878988958386,2014822.33333333,1920187,4.92844360123936,6880100.33333333,5346187.66666667,28.6917100989657,16,"G000016"
31,"MG","Minas Gerais","Minas Gerais",3130015.33333333,5168054.66666667,-39.4353284704678,7202998,6410310.33333333,12.3658235786921,69957595,70154823.3333333,-0.281132962727579,17,"G000017"
32,"ES","Espírito Santo","Espirito Santo",NA,NA,0,73996,39044.3333333333,89.5178984573094,4433955.33333333,2654866,67.0123966080898,18,"G000018"
33,"RJ","Rio de Janeiro","Rio de Janeiro",NA,NA,0,15536,7633.33333333333,103.528384279476,5262090,2353025,123.630858150678,19,"G000019"
35,"SP","São Paulo","Sao Paulo",1561114.66666667,3164972,-50.6752455735258,4083150,4753360.33333333,-14.099716544387,423148855.666667,441080228,-4.06533124702498,20,"G000020"
41,"PR","Paraná","Parana",14111142.3333333,18446622.3333333,-23.5028392822123,15456784,14744429,4.83135020013322,47099586.3333333,42805590,10.0313915386596,21,"G000021"
42,"SC","Santa Catarina","Santa Catarina",1385530.66666667,2308335.66666667,-39.9770715033212,3282880.33333333,2704715,21.3762016823706,510080,308089,65.5625484843665,22,"G000022"
43,"RS","Rio Grande do Sul","Rio Grande do Sul",10139789.3333333,17497601,-42.0504026047154,4782421,5115366.33333333,-6.50872902618438,1164227.66666667,724107.333333333,60.7810904644897,23,"G000023"
50,"MS","Mato Grosso do Sul","Mato Grosso do Sul",5151486.33333333,8787087.33333333,-41.3743583292788,5892962,7760823.33333333,-24.0678244189727,38345939.3333333,49550730,-22.6127660816838,24,"G000024"
51,"MT","Mato Grosso","Mato Grosso",22019536.6666667,29455245,-25.2440892388887,14532226,23818215.6666667,-38.9869241114578,16947093.6666667,19624732,-13.6442033110735,25,"G000025"
52,"GO","Goiás","Goias",8338647.33333333,11029652.6666667,-24.3979154617081,7220220.66666667,8266613.66666667,-12.6580609932136,60876198.6666667,72723328.6666667,-16.2906872075428,26,"G000026"
53,"DF","Distrito Federal","Distrito Federal",170819,242832.666666667,-29.6556751013731,362545,381931.333333333,-5.07586878618662,54356.6666666667,23090,135.4121553342,27,"G000027"
