"FE","ShortName","Name","State","Cropland_dest","Pasture_dest","ForestPlantation_dest","Cropland_ori","Pasture_ori","ForestPlantation_ori","tland_dest","tland_ori","p_tland","cropland_shock","pasture_shock","forestplantation_shock","index","GID"
11,"RO","Rondônia","Rondonia",155324.759199855,7430838.72745378,469.869484442138,316905.10425161,7902408.54265514,904.665035662839,7586633.35613808,8220218.31194241,-7.70764147326661,-50.9869809239382,-5.96741882751243,-48.0614961428381,1,"G000001"
12,"AC","Acre","Acre",513.639336041262,1750523.87103735,0,4244.75538782959,1922252.34887285,0,1751037.51037339,1926497.10426068,-9.10770088879105,-87.8994361485717,-8.93371143160218,0,2,"G000002"
13,"AM","Amazonas","Amazonas",5068.22361792611,1386975.47749215,0,6658.19805335704,1857765.16360772,0,1392043.70111008,1864423.36166108,-25.3365019053474,-23.8799510421483,-25.3417221583223,0,3,"G000003"
14,"RR","Roraima","Roraima",28497.4438689939,670822.890820656,273.878277917479,108573.75837782,785137.239497709,6536.98996070554,699594.212967568,900247.987836235,-22.288722394253,-73.7529175605884,-14.5597919607259,-95.8103304492773,4,"G000004"
15,"PA","Pará","Para",318530.575432637,18342549.2588706,72177.5349840466,861619.902291015,19363024.0688349,98277.6592555707,18733257.3692873,20322921.6303815,-7.82202623228039,-63.0311957064042,-5.27022435305851,-26.5575355266153,5,"G000005"
16,"AP","Amapá","Amapa",1739.60450163574,44488.1155533022,92872.0560866481,17438.141912024,61980.4643934701,94681.0495849799,139099.776141586,174099.655890474,-20.103359521231,-90.0241407002415,-28.2223584662441,-1.91061834048234,6,"G000006"
17,"TO","Tocantins","Tocantins",1469312.35462638,7385662.09315705,14275.5519953186,1947534.67196701,7814326.29211939,56149.6680512576,8869249.99977875,9818010.63213765,-9.66347122555855,-24.5552659074163,-5.48561939875274,-74.5758924482211,7,"G000007"
21,"MA","Maranhão","Maranhao",2158534.21309571,7942570.81309066,102258.182217846,2256875.72099005,8548536.95452414,152917.889593049,10203363.2084042,10958330.5651072,-6.88943769507137,-4.35741795526073,-7.08853625663729,-33.1286990096586,8,"G000008"
22,"PI","Piauí","Piaui",2248700.81479347,1876593.81767686,2371.65513801881,2628143.86765143,2067643.98759997,13080.302535968,4127666.28760835,4708868.15778738,-12.3427084960503,-14.4376819522079,-9.23999349350624,-81.8684993600319,9,"G000009"
23,"CE","Ceará","Ceara",2037461.90774128,2636859.54529873,0.802278594970703,1620376.64112123,2912544.74356156,0.711837890625,4674322.25531861,4532922.09652068,3.11940412358852,25.7400196988427,-9.46544079270405,12.7052388664356,10,"G000010"
