FE,ShortName,Name,NameEN
11,RO,Rondônia,Rondonia
12,AC,Acre,Acre
13,AM,Amazonas,Amazonas
14,RR,Roraima,Roraima
15,PA,Pará,Para
16,AP,Amapá,Amapa
17,TO,Tocantins,Tocantins
21,MA,Maranhão,Maranhao
22,PI,Piauí,Piaui
23,CE,Ceará,Ceara
24,RN,Rio Grande do Norte,Rio Grande do Norte
25,PB,Paraíba,Paraiba
26,PE,Pernambuco,Pernambuco
27,AL,Alagoas,Alagoas
28,SE,Sergipe,Sergipe
29,BA,Bahia,Bahia
31,MG,Minas Gerais,Minas Gerais
32,ES,Espírito Santo,Espirito Santo
33,RJ,Rio de Janeiro,Rio de Janeiro
35,SP,São Paulo,Sao Paulo
41,PR,Paraná,Parana
42,SC,Santa Catarina,Santa Catarina
43,RS,Rio Grande do Sul,Rio Grande do Sul
50,MS,Mato Grosso do Sul,Mato Grosso do Sul
51,MT,Mato Grosso,Mato Grosso
52,GO,Goiás,Goias
53,DF,Distrito Federal,Distrito Federal
