"FE","ShortName","Name","NameEN","index","GID","QLND.target","QPLD.target","Qosd.target","Qgro.target","Qc_b.target","QLND.sim","QPLD.sim","Qosd.sim","Qgro.sim","Qc_b.sim"
11,"RO","Rondônia","Rondonia",1,"G000001",106.01184911932,7534.52493980523,330.176608852808,279.048734531474,352.165889637018,196.330579770988,7398.2998295021,519.07919590208,356.930858656781,288.252740219605
12,"AC","Acre","Acre",2,"G000002",0,1743.88707709803,7.18286653870191e-07,2.40294364272539e-06,7.10226008831628e-06,0,1740.51122020976,1.62212218828735e-06,1.43041326161683e-06,1.76301099332104e-06
13,"AM","Amazonas","Amazonas",3,"G000003",3.63099160976178,1655.52944856296,1.32949619157409,9.85096387009801,409.688572060759,3.03538138388608,1656.09357194795,1.06567462032376,2.03951093800982,269.874201467876
14,"RR","Roraima","Roraima",4,"G000004",20.5572690765159,716.508134477051,2.51963826376891,3.38030331431849,1.61390941121061,50.7232742684355,662.620979651548,7.01074467581335,6.25761283088461,1.64553745645886
15,"PA","Pará","Para",5,"G000005",232.842318697825,19000.7022790249,243.230234066753,565.27768224911,811.483557540161,420.10422559455,18665.5550687359,771.826260732372,525.781776710441,841.681717822603
16,"AP","Amapá","Amapa",6,"G000006",1.69801797367718,90.1071163582721,5.02863821056517e-07,4.02114662439804,2.52866495917426,12.7663342114753,107.868603157236,1.64990975917056e-06,1.86545943429684,2.82687259575731
17,"TO","Tocantins","Tocantins",7,"G000007",974.165330355119,6457.89949730779,1156.83982114117,267.98044532636,860.516658721282,1079.98258915431,6265.0566100888,1678.4090885479,475.860816283485,1047.75459739663
21,"MA","Maranhão","Maranhao",8,"G000008",1100.9947873927,6918.9424959737,1859.68295871939,295.85186650275,2641.90072062594,842.020914993039,7181.41267352432,2067.60736161942,311.796442467288,1987.05204900677
22,"PI","Piauí","Piaui",9,"G000009",1557.50012152284,1074.79003471663,1099.67629687741,415.047143980095,906.689143161507,1496.43627017423,1137.77488852319,1475.24460259394,573.636682112642,807.084108874993
23,"CE","Ceará","Ceara",10,"G000010",1988.39318598938,1653.38186173227,3411.72164389852,1383.91699969361,9766.67183148152,1617.7488884123,1896.16464898571,147.782113137564,858.408471736236,3116.2824075586
24,"RN","Rio Grande do Norte","Rio Grande do Norte",11,"G000011",1423.30296506916,659.190927699519,28.7447309957275,173.604439891618,5946.07751585389,1119.58043775395,847.366032873173,24.869528539535,64.949908080714,5404.79706528408
25,"PB","Paraíba","Paraiba",12,"G000012",978.114810829184,1248.90823542167,35.6455736623535,114.718615951391,8912.75036873305,805.903634146664,1332.96269180097,30.7241514655525,93.3193220670708,7721.10711822842
26,"PE","Pernambuco","Pernambuco",13,"G000013",1475.27308734102,2612.66851372601,62.3669710622559,408.782577666445,35598.5933705906,1240.47724594376,2847.16858888147,54.0164063386706,215.450166823902,25935.1525894915
27,"AL","Alagoas","Alagoas",14,"G000014",666.425783774697,1434.54837197989,29.695744560791,32.1850242854833,60053.4289827465,563.551517480425,1535.25495414704,26.9095770891428,40.8379192567395,37519.2867928274
28,"SE","Sergipe","Sergipe",15,"G000015",188.317826619682,1492.17048691164,145.86350145936,2061.16059668794,5693.19388651549,210.063058302843,1437.65997624712,122.269141114622,1105.10790292457,3658.6013624855
29,"BA","Bahia","Bahia",16,"G000016",5704.98240990106,16086.9048107933,4291.79148849236,4823.4623420412,10505.044599517,5813.92913758018,15888.5948690402,5308.69600615136,3654.94265283594,6536.5185126367
31,"MG","Minas Gerais","Minas Gerais",17,"G000017",9861.33635935163,20736.8564298248,3608.93981992057,14767.6021684988,83631.7836236849,9287.63446353566,21183.8884312936,4987.45011864805,10367.1050916242,72825.8836400536
32,"ES","Espírito Santo","Espirito Santo",18,"G000018",691.038076548755,2143.65934421593,83.3946390615234,349.470790761069,11366.9094825351,593.30891945719,2237.79492840273,69.2656398225783,135.827706308029,6112.31847519525
33,"RJ","Rio de Janeiro","Rio de Janeiro",19,"G000019",597.148493910023,1830.34938506783,34.2184648977051,69.7371484043504,15470.31213747,481.093016745845,1953.28779494781,30.1169903686065,26.3848938089312,6606.73134219591
35,"SP","São Paulo","Sao Paulo",20,"G000020",11095.7879828696,5336.38842288919,1777.50065440678,6891.81801508556,553196.82322646,11361.2013010776,4960.58083167389,3305.39976399247,6618.40517825508,565175.634889084
41,"PR","Paraná","Parana",21,"G000021",9614.31869820563,2907.74363052368,21026.5205107385,28398.3021690705,75578.5362931744,9449.95431490365,2874.9141118501,24160.135090512,21167.6428342105,65208.567915819
